AGDE PEZENAS,AGDE
AMBERIEU,AMBERIEU EN BUGEY
AMIENS SUD,AMIENS SUD (péage de Dury)
AUMAL N°12,AUMALE N°12
AUVOURS,AUVOURS (LE MANS ZI SUD)
BEAULIEU,PEAGE DE BEAULIEU SUD LAYON
BEAULIEU-SUR-LAYON,PEAGE DE BEAULIEU SUD LAYON
BEAUMONT,METZ BEAUMONT
BELLEVILLE S/SAONE,BELLEVILLE SUR SAONE
BELLEVILLE-SUR-SAONE,BELLEVILLE SUR SAONE
BOULOGNE EST (PEAGE D'HERQUELINGUE),BOULOGNE EST
BOURGES (LIM.CONC.),BOURGES
BROGLIE OUEST,ORBEC
CHALONS - LA VEUVE,CHALONS LA VEUVE
CHALONS / LA VEUVE (METZ),CHALONS - LA VEUVE
CHALONS / LA VEUVE (REIMS),CHALONS - LA VEUVE
CHALONS EN CHAMPAGNE / LA VEUVE,CHALONS LA VEUVE
CHALONS-EN-CHAMPAGNE / LA VEUVE,CHALONS - LA VEUVE
CHALONS/LA VEUVE,CHALONS - LA VEUVE
CHALONS/MOURMELON,CHALONS MOURMELON
CHARMONT (LIM.CONC),CHARMONT
CHARMONT S/BARBUISE,CHARMONT
CHARMONT SOUS BARBUISE,CHARMONT
CHARMONT-S/BARBUISE,CHARMONT
CHARMONT-SOUS-BARBUISE,CHARMONT
CHAUMONT/SEMOUTIERS,CHAUMONT SEMOUTIERS
CLERMONT BARRIERE,CLERMONT
CLERMONT-BARRIERE,CLERMONT
CLERMONT-EN-ARGONNE,CLERMONT EN ARGONNE
DIJON ARC S/TILLE,DIJON ARC SUR TILLE
DIJON CRIMOLOIS,CRIMOLOIS
DIJON-ARC S/TILLE,DIJON ARC SUR TILLE
DIJON-ARC SUR TILLE,DIJON ARC SUR TILLE
DIJON-CRIMOLOIS,CRIMOLOIS
DIJON/ARC-SUR-TILLE,DIJON ARC SUR TILLE
ELOISE,ELOISE / ANNECY
FLEURY EN BIERE,FLEURY-EN-BIERE
FONTENAY /LOING,FONTENAY SUR LOING
FONTENAY LE COMTE,FONTENAY CENTRE
FONTENAY-SUR-LOING,FONTENAY SUR LOING
FRESNES-EN-WOEVRE,FRESNES EN WOEVRE
FREYMING-MERLEBACH (A320),FREYMING MERLEBACH
GERZAT VILLE,GERZAT
GERZAT-VILLE,GERZAT
GONDREVILLE A77/N,GONDREVILLE LA FRANCHE NORD
GONDREVILLE A77/S,GONDREVILLE LA FRANCHE SUD
JANVILLE (ALLAINES),ALLAINES
JARNY A4,JARNY
L ISLE S/LE DOUBS,L'ISLE SUR LE DOUBS
L ISLE-S/LE-DOUBS,L'ISLE SUR LE DOUBS
L'ISLE-SUR-LE-DOUBS,L'ISLE SUR LE DOUBS
LA BOISSE - MONTLUEL,LA BOISSE
LA FOLIE-B/PARIS,PARIS (LA FOLIE BESSIN)
LAMOTTE BEUVRON,LAMOTTE-BEUVRON
LE MANS NORD,LE MANS ZI NORD
LE MANS OUEST,LE MANS CENTRE UNIVERSITE
METZ (péage de Beaumont),METZ BEAUMONT
MEUNG SUR LOIRE,MEUNG
MONT-CHOISY,MONT CHOISY
MONTREUIL (REIMS),MONTREUIL REIMS
MONTREUIL AUX LIONS,BARRIERE DE MONTREUIL AUX LIONS
MONTREUIL-AUX-LIONS,BARRIERE DE MONTREUIL AUX LIONS
NEUFCHATEL EN BRAYE,NEUFCHATEL EN BRAY (A28)
NUITS SAINT GEORGES,NUITS ST GEORGES
NUITS-ST-GEORGES,NUITS-SAINT-GEORGES
ORLEANS-CENTRE,ORLEANS CENTRE
ORLEANS-NORD,ORLEANS NORD
PEAGE DE LA ROCHE-SUR-YON,LA ROCHE SUR YON
