Autoroute entrée	Péage entrée	Classe 1	Classe 5
ST GERMAIN LES VERGNES	MONTREUIL AUX LIONS	93.9	53.5
MONTREUIL AUX LIONS	ST GERMAIN LES VERGNES	93.9	53.5
ST GERMAIN LES VERGNES	MONTREUIL (REIMS)	91.9	52.2
MONTREUIL (REIMS)	ST GERMAIN LES VERGNES	91.9	52.2
ST GERMAIN LES VERGNES	CHATEAU-THIERRY	89.6	51.1
CHATEAU-THIERRY	ST GERMAIN LES VERGNES	89.6	51.1
ST GERMAIN LES VERGNES	DORMANS	87.2	49.8
DORMANS	ST GERMAIN LES VERGNES	87.2	49.8
ST GERMAIN LES VERGNES	REIMS NORD (ORMES)	85.8	48.5
REIMS NORD (ORMES)	ST GERMAIN LES VERGNES	85.8	48.5
ST GERMAIN LES VERGNES	REIMS OUEST (THILLOIS)	86.4	49.0
REIMS OUEST (THILLOIS)	ST GERMAIN LES VERGNES	86.4	49.0
ST GERMAIN LES VERGNES	REIMS SUD	84.6	48.0
REIMS SUD	ST GERMAIN LES VERGNES	84.6	48.0
ST GERMAIN LES VERGNES	CHARMONT-S/BARBUISE	74.6	42.3
CHARMONT-S/BARBUISE	ST GERMAIN LES VERGNES	74.6	42.3
ST GERMAIN LES VERGNES	VALLEE DE L'AUBE	75.7	43.1
VALLEE DE L'AUBE	ST GERMAIN LES VERGNES	75.7	43.1
ST GERMAIN LES VERGNES	SOMMESOUS	77.6	44.2
SOMMESOUS	ST GERMAIN LES VERGNES	77.6	44.2
ST GERMAIN LES VERGNES	MONT CHOISY	79.5	45.5
MONT CHOISY	ST GERMAIN LES VERGNES	79.5	45.5
ST GERMAIN LES VERGNES	ST GIBRIEN	80.3	45.9
ST GIBRIEN	ST GERMAIN LES VERGNES	80.3	45.9
ST GERMAIN LES VERGNES	REIMS EST (TAISSY)	84.8	48.1
REIMS EST (TAISSY)	ST GERMAIN LES VERGNES	84.8	48.1
ST GERMAIN LES VERGNES	CHALONS / LA VEUVE (REIMS)	81.5	46.5
CHALONS / LA VEUVE (REIMS)	ST GERMAIN LES VERGNES	81.5	46.5
ST GERMAIN LES VERGNES	CHALONS / LA VEUVE (METZ)	81.5	46.8
CHALONS / LA VEUVE (METZ)	ST GERMAIN LES VERGNES	81.5	46.8
ST GERMAIN LES VERGNES	ST ETIENNE AU TEMPLE	81.5	46.8
ST ETIENNE AU TEMPLE	ST GERMAIN LES VERGNES	81.5	46.8
ST GERMAIN LES VERGNES	ST MENEHOULD	83.5	48.3
ST MENEHOULD	ST GERMAIN LES VERGNES	83.5	48.3
ST GERMAIN LES VERGNES	VOIE SACREE	87.0	50.1
VOIE SACREE	ST GERMAIN LES VERGNES	87.0	50.1
ST GERMAIN LES VERGNES	VERDUN	89.4	51.5
VERDUN	ST GERMAIN LES VERGNES	89.4	51.5
ST GERMAIN LES VERGNES	FRESNES EN WOEVRE	89.4	51.5
FRESNES EN WOEVRE	ST GERMAIN LES VERGNES	89.4	51.5
ST GERMAIN LES VERGNES	JARNY	90.9	52.5
JARNY	ST GERMAIN LES VERGNES	90.9	52.5
ST GERMAIN LES VERGNES	METZ BEAUMONT	94.1	53.8
METZ BEAUMONT	ST GERMAIN LES VERGNES	94.1	53.8
ST GERMAIN LES VERGNES	CLERMONT EN ARGONNE	85.2	49.1
CLERMONT EN ARGONNE	ST GERMAIN LES VERGNES	85.2	49.1
ST GERMAIN LES VERGNES	VATRY	78.2	44.3
VATRY	ST GERMAIN LES VERGNES	78.2	44.3
TULLE NORD	MONTREUIL AUX LIONS	92.0	52.1
MONTREUIL AUX LIONS	TULLE NORD	92.0	52.1
TULLE NORD	REIMS NORD (ORMES)	83.9	47.1
REIMS NORD (ORMES)	TULLE NORD	83.9	47.1
TULLE NORD	REIMS OUEST (THILLOIS)	84.5	47.6
REIMS OUEST (THILLOIS)	TULLE NORD	84.5	47.6
TULLE NORD	VALLEE DE L'AUBE	73.8	41.7
VALLEE DE L'AUBE	TULLE NORD	73.8	41.7
TULLE NORD	CHALONS / LA VEUVE (REIMS)	79.6	45.1
CHALONS / LA VEUVE (REIMS)	TULLE NORD	79.6	45.1
TULLE NORD	CHALONS / LA VEUVE (METZ)	79.6	45.4
CHALONS / LA VEUVE (METZ)	TULLE NORD	79.6	45.4
TULLE EST	MONTREUIL AUX LIONS	91.4	51.7
MONTREUIL AUX LIONS	TULLE EST	91.4	51.7
TULLE EST	REIMS NORD (ORMES)	83.3	46.7
REIMS NORD (ORMES)	TULLE EST	83.3	46.7
TULLE EST	REIMS OUEST (THILLOIS)	83.9	47.2
REIMS OUEST (THILLOIS)	TULLE EST	83.9	47.2
TULLE EST	VALLEE DE L'AUBE	73.2	41.3
VALLEE DE L'AUBE	TULLE EST	73.2	41.3
TULLE EST	CHALONS / LA VEUVE (REIMS)	79.0	44.7
CHALONS / LA VEUVE (REIMS)	TULLE EST	79.0	44.7
TULLE EST	CHALONS / LA VEUVE (METZ)	79.0	45.0
CHALONS / LA VEUVE (METZ)	TULLE EST	79.0	45.0
EGLETONS	MONTREUIL AUX LIONS	89.2	50.5
MONTREUIL AUX LIONS	EGLETONS	89.2	50.5
EGLETONS	REIMS NORD (ORMES)	81.1	45.5
REIMS NORD (ORMES)	EGLETONS	81.1	45.5
EGLETONS	REIMS OUEST (THILLOIS)	81.7	46.0
REIMS OUEST (THILLOIS)	EGLETONS	81.7	46.0
EGLETONS	VALLEE DE L'AUBE	71.0	40.1
VALLEE DE L'AUBE	EGLETONS	71.0	40.1
EGLETONS	CHALONS / LA VEUVE (REIMS)	76.8	43.5
CHALONS / LA VEUVE (REIMS)	EGLETONS	76.8	43.5
EGLETONS	CHALONS / LA VEUVE (METZ)	76.8	43.8
CHALONS / LA VEUVE (METZ)	EGLETONS	76.8	43.8
USSEL OUEST	MONTREUIL AUX LIONS	86.5	48.8
MONTREUIL AUX LIONS	USSEL OUEST	86.5	48.8
USSEL OUEST	REIMS NORD (ORMES)	78.4	43.8
REIMS NORD (ORMES)	USSEL OUEST	78.4	43.8
USSEL OUEST	REIMS OUEST (THILLOIS)	79.0	44.3
REIMS OUEST (THILLOIS)	USSEL OUEST	79.0	44.3
USSEL OUEST	VALLEE DE L'AUBE	68.3	38.4
VALLEE DE L'AUBE	USSEL OUEST	68.3	38.4
USSEL OUEST	CHALONS / LA VEUVE (REIMS)	74.1	41.8
CHALONS / LA VEUVE (REIMS)	USSEL OUEST	74.1	41.8
USSEL OUEST	CHALONS / LA VEUVE (METZ)	74.1	42.1
CHALONS / LA VEUVE (METZ)	USSEL OUEST	74.1	42.1
USSEL EST	MONTREUIL AUX LIONS	84.5	47.7
MONTREUIL AUX LIONS	USSEL EST	84.5	47.7
USSEL EST	REIMS NORD (ORMES)	76.4	42.7
REIMS NORD (ORMES)	USSEL EST	76.4	42.7
USSEL EST	REIMS OUEST (THILLOIS)	77.0	43.2
REIMS OUEST (THILLOIS)	USSEL EST	77.0	43.2
USSEL EST	VALLEE DE L'AUBE	66.3	37.3
VALLEE DE L'AUBE	USSEL EST	66.3	37.3
USSEL EST	CHALONS / LA VEUVE (REIMS)	72.1	40.7
CHALONS / LA VEUVE (REIMS)	USSEL EST	72.1	40.7
USSEL EST	CHALONS / LA VEUVE (METZ)	72.1	41.0
CHALONS / LA VEUVE (METZ)	USSEL EST	72.1	41.0
ST JULIEN SANCY	MONTREUIL AUX LIONS	81.9	46.4
MONTREUIL AUX LIONS	ST JULIEN SANCY	81.9	46.4
ST JULIEN SANCY	REIMS NORD (ORMES)	73.8	41.4
REIMS NORD (ORMES)	ST JULIEN SANCY	73.8	41.4
ST JULIEN SANCY	REIMS OUEST (THILLOIS)	74.4	41.9
REIMS OUEST (THILLOIS)	ST JULIEN SANCY	74.4	41.9
ST JULIEN SANCY	VALLEE DE L'AUBE	63.7	36.0
VALLEE DE L'AUBE	ST JULIEN SANCY	63.7	36.0
ST JULIEN SANCY	CHALONS / LA VEUVE (REIMS)	69.5	39.4
CHALONS / LA VEUVE (REIMS)	ST JULIEN SANCY	69.5	39.4
ST JULIEN SANCY	CHALONS / LA VEUVE (METZ)	69.5	39.7
CHALONS / LA VEUVE (METZ)	ST JULIEN SANCY	69.5	39.7
VULCANIA BROMONT	MONTREUIL AUX LIONS	79.7	44.9
MONTREUIL AUX LIONS	VULCANIA BROMONT	79.7	44.9
VULCANIA BROMONT	REIMS NORD (ORMES)	71.6	39.9
REIMS NORD (ORMES)	VULCANIA BROMONT	71.6	39.9
VULCANIA BROMONT	REIMS OUEST (THILLOIS)	72.2	40.4
REIMS OUEST (THILLOIS)	VULCANIA BROMONT	72.2	40.4
VULCANIA BROMONT	VALLEE DE L'AUBE	61.5	34.5
VALLEE DE L'AUBE	VULCANIA BROMONT	61.5	34.5
VULCANIA BROMONT	CHALONS / LA VEUVE (REIMS)	67.3	37.9
CHALONS / LA VEUVE (REIMS)	VULCANIA BROMONT	67.3	37.9
VULCANIA BROMONT	CHALONS / LA VEUVE (METZ)	67.3	38.2
CHALONS / LA VEUVE (METZ)	VULCANIA BROMONT	67.3	38.2
MANZAT	MONTREUIL AUX LIONS	77.6	43.7
MONTREUIL AUX LIONS	MANZAT	77.6	43.7
MANZAT	REIMS NORD (ORMES)	69.5	38.7
REIMS NORD (ORMES)	MANZAT	69.5	38.7
MANZAT	REIMS OUEST (THILLOIS)	70.1	39.2
REIMS OUEST (THILLOIS)	MANZAT	70.1	39.2
MANZAT	VALLEE DE L'AUBE	59.4	33.3
VALLEE DE L'AUBE	MANZAT	59.4	33.3
MANZAT	CHALONS / LA VEUVE (REIMS)	65.2	36.7
CHALONS / LA VEUVE (REIMS)	MANZAT	65.2	36.7
MANZAT	CHALONS / LA VEUVE (METZ)	65.2	37.0
CHALONS / LA VEUVE (METZ)	MANZAT	65.2	37.0
ALLAINES	REIMS NORD (ORMES)	43.3	23.2
REIMS NORD (ORMES)	ALLAINES	43.3	23.2
ALLAINES	REIMS OUEST (THILLOIS)	43.9	23.7
REIMS OUEST (THILLOIS)	ALLAINES	43.9	23.7
ALLAINES	REIMS SUD	42.1	22.7
REIMS SUD	ALLAINES	42.1	22.7
ALLAINES	CHARMONT-S/BARBUISE	32.1	17.0
CHARMONT-S/BARBUISE	ALLAINES	32.1	17.0
ALLAINES	VALLEE DE L'AUBE	33.2	17.8
VALLEE DE L'AUBE	ALLAINES	33.2	17.8
ALLAINES	SOMMESOUS	35.1	18.9
SOMMESOUS	ALLAINES	35.1	18.9
ALLAINES	MONT CHOISY	37.0	20.2
MONT CHOISY	ALLAINES	37.0	20.2
ALLAINES	ST GIBRIEN	37.8	20.6
ST GIBRIEN	ALLAINES	37.8	20.6
ALLAINES	VATRY	35.7	19.0
VATRY	ALLAINES	35.7	19.0
ARTENAY	REIMS NORD (ORMES)	42.3	22.4
REIMS NORD (ORMES)	ARTENAY	42.3	22.4
ARTENAY	REIMS OUEST (THILLOIS)	42.9	22.9
REIMS OUEST (THILLOIS)	ARTENAY	42.9	22.9
