ST GERMAIN LES VERGNES	TULLE NORD	1.8	1.1
TULLE NORD	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	TULLE EST	1.8	1.1
TULLE EST	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	EGLETONS	1.8	1.1
EGLETONS	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	USSEL OUEST	1.8	1.1
USSEL OUEST	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	USSEL EST	1.8	1.1
USSEL EST	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	ST JULIEN SANCY	1.8	1.1
ST JULIEN SANCY	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	VULCANIA BROMONT	1.8	1.1
VULCANIA BROMONT	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	MANZAT	1.8	1.1
MANZAT	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	ALLAINES	1.8	1.1
ALLAINES	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	ARTENAY	1.8	1.1
ARTENAY	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	MONTREUIL AUX LIONS	1.8	1.1
MONTREUIL AUX LIONS	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	CHATEAU-THIERRY	1.8	1.1
CHATEAU-THIERRY	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	DORMANS	1.8	1.1
DORMANS	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	REIMS NORD (ORMES)	86.0	48.6
REIMS NORD (ORMES)	ST GERMAIN LES VERGNES	86.0	48.6
ST GERMAIN LES VERGNES	REIMS OUEST (THILLOIS)	86.6	49.1
REIMS OUEST (THILLOIS)	ST GERMAIN LES VERGNES	86.6	49.1
ST GERMAIN LES VERGNES	REIMS SUD	84.8	48.1
REIMS SUD	ST GERMAIN LES VERGNES	84.8	48.1
ST GERMAIN LES VERGNES	CHARMONT-S/BARBUISE	1.8	1.1
CHARMONT-S/BARBUISE	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	VALLEE DE L'AUBE	1.8	1.1
VALLEE DE L'AUBE	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	SOMMESOUS	1.8	1.1
SOMMESOUS	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	MONT CHOISY	1.8	1.1
MONT CHOISY	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	ST GIBRIEN	1.8	1.1
ST GIBRIEN	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	REIMS EST (TAISSY)	1.8	1.1
REIMS EST (TAISSY)	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	CHALONS / LA VEUVE (REIMS)	1.8	1.1
CHALONS / LA VEUVE (REIMS)	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	CHALONS / LA VEUVE (METZ)	1.8	1.1
CHALONS / LA VEUVE (METZ)	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	ST ETIENNE AU TEMPLE	1.8	1.1
ST ETIENNE AU TEMPLE	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	ST MENEHOULD	1.8	1.1
ST MENEHOULD	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	VOIE SACREE	1.8	1.1
VOIE SACREE	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	VERDUN	1.8	1.1
VERDUN	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	FRESNES EN WOEVRE	1.8	1.1
FRESNES EN WOEVRE	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	JARNY	1.8	1.1
JARNY	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	METZ BEAUMONT	1.8	1.1
METZ BEAUMONT	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	CLERMONT EN ARGONNE	1.8	1.1
CLERMONT EN ARGONNE	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	VATRY	1.8	1.1
VATRY	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	VAL DE LOING-SOUPPES	1.8	1.1
VAL DE LOING-SOUPPES	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	VAL DE LOING-BARRIERE	1.8	1.1
VAL DE LOING-BARRIERE	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	BELLEGARDE	1.8	1.1
BELLEGARDE	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	ELOISE	1.8	1.1
ELOISE	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	VIRY	1.8	1.1
VIRY	ST GERMAIN LES VERGNES	1.8	1.1
TULLE NORD	MONTREUIL AUX LIONS	92.2	52.1
MONTREUIL AUX LIONS	TULLE NORD	92.2	52.1
TULLE NORD	REIMS NORD (ORMES)	84.1	47.1
REIMS NORD (ORMES)	TULLE NORD	84.1	47.1
TULLE NORD	REIMS OUEST (THILLOIS)	84.7	47.6
REIMS OUEST (THILLOIS)	TULLE NORD	84.7	47.6
TULLE NORD	REIMS SUD	82.9	46.6
REIMS SUD	TULLE NORD	82.9	46.6
TULLE NORD	VALLEE DE L'AUBE	73.9	41.7
VALLEE DE L'AUBE	TULLE NORD	73.9	41.7
TULLE EST	MONTREUIL AUX LIONS	91.6	51.8
MONTREUIL AUX LIONS	TULLE EST	91.6	51.8
TULLE EST	REIMS NORD (ORMES)	83.5	46.8
REIMS NORD (ORMES)	TULLE EST	83.5	46.8
TULLE EST	REIMS OUEST (THILLOIS)	84.1	47.3
REIMS OUEST (THILLOIS)	TULLE EST	84.1	47.3
TULLE EST	REIMS SUD	82.3	46.3
REIMS SUD	TULLE EST	82.3	46.3
TULLE EST	VALLEE DE L'AUBE	73.3	41.4
VALLEE DE L'AUBE	TULLE EST	73.3	41.4
EGLETONS	MONTREUIL AUX LIONS	89.4	50.5
MONTREUIL AUX LIONS	EGLETONS	89.4	50.5
EGLETONS	REIMS NORD (ORMES)	81.3	45.5
REIMS NORD (ORMES)	EGLETONS	81.3	45.5
EGLETONS	REIMS OUEST (THILLOIS)	81.9	46.0
REIMS OUEST (THILLOIS)	EGLETONS	81.9	46.0
EGLETONS	REIMS SUD	80.1	45.0
REIMS SUD	EGLETONS	80.1	45.0
EGLETONS	VALLEE DE L'AUBE	71.1	40.1
VALLEE DE L'AUBE	EGLETONS	71.1	40.1
USSEL OUEST	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	USSEL OUEST	1.8	1.1
USSEL OUEST	TULLE NORD	1.8	1.1
TULLE NORD	USSEL OUEST	1.8	1.1
USSEL OUEST	TULLE EST	1.8	1.1
TULLE EST	USSEL OUEST	1.8	1.1
USSEL OUEST	EGLETONS	1.8	1.1
EGLETONS	USSEL OUEST	1.8	1.1
USSEL OUEST	USSEL EST	1.8	1.1
USSEL EST	USSEL OUEST	1.8	1.1
USSEL OUEST	ST JULIEN SANCY	1.8	1.1
ST JULIEN SANCY	USSEL OUEST	1.8	1.1
USSEL OUEST	VULCANIA BROMONT	1.8	1.1
VULCANIA BROMONT	USSEL OUEST	1.8	1.1
USSEL OUEST	MANZAT	1.8	1.1
MANZAT	USSEL OUEST	1.8	1.1
USSEL OUEST	ALLAINES	1.8	1.1
ALLAINES	USSEL OUEST	1.8	1.1
USSEL OUEST	ARTENAY	1.8	1.1
ARTENAY	USSEL OUEST	1.8	1.1
USSEL OUEST	MONTREUIL AUX LIONS	1.8	1.1
MONTREUIL AUX LIONS	USSEL OUEST	1.8	1.1
USSEL OUEST	CHATEAU-THIERRY	1.8	1.1
CHATEAU-THIERRY	USSEL OUEST	1.8	1.1
USSEL OUEST	DORMANS	1.8	1.1
DORMANS	USSEL OUEST	1.8	1.1
USSEL OUEST	REIMS NORD (ORMES)	78.6	43.9
REIMS NORD (ORMES)	USSEL OUEST	78.6	43.9
USSEL OUEST	REIMS OUEST (THILLOIS)	79.2	44.4
REIMS OUEST (THILLOIS)	USSEL OUEST	79.2	44.4
USSEL OUEST	REIMS SUD	77.4	43.4
REIMS SUD	USSEL OUEST	77.4	43.4
USSEL OUEST	CHARMONT-S/BARBUISE	1.8	1.1
CHARMONT-S/BARBUISE	USSEL OUEST	1.8	1.1
USSEL OUEST	VALLEE DE L'AUBE	1.8	1.1
VALLEE DE L'AUBE	USSEL OUEST	1.8	1.1
USSEL OUEST	SOMMESOUS	1.8	1.1
SOMMESOUS	USSEL OUEST	1.8	1.1
USSEL OUEST	MONT CHOISY	1.8	1.1
MONT CHOISY	USSEL OUEST	1.8	1.1
USSEL OUEST	ST GIBRIEN	1.8	1.1
ST GIBRIEN	USSEL OUEST	1.8	1.1
USSEL OUEST	REIMS EST (TAISSY)	1.8	1.1
REIMS EST (TAISSY)	USSEL OUEST	1.8	1.1
USSEL OUEST	CHALONS / LA VEUVE (REIMS)	1.8	1.1
CHALONS / LA VEUVE (REIMS)	USSEL OUEST	1.8	1.1
USSEL OUEST	CHALONS / LA VEUVE (METZ)	1.8	1.1
CHALONS / LA VEUVE (METZ)	USSEL OUEST	1.8	1.1
USSEL OUEST	ST ETIENNE AU TEMPLE	1.8	1.1
ST ETIENNE AU TEMPLE	USSEL OUEST	1.8	1.1
USSEL OUEST	ST MENEHOULD	1.8	1.1
ST MENEHOULD	USSEL OUEST	1.8	1.1
USSEL OUEST	VOIE SACREE	1.8	1.1
VOIE SACREE	USSEL OUEST	1.8	1.1
USSEL OUEST	VERDUN	1.8	1.1
VERDUN	USSEL OUEST	1.8	1.1
USSEL OUEST	FRESNES EN WOEVRE	1.8	1.1
FRESNES EN WOEVRE	USSEL OUEST	1.8	1.1
USSEL OUEST	JARNY	1.8	1.1
JARNY	USSEL OUEST	1.8	1.1
USSEL OUEST	METZ BEAUMONT	1.8	1.1
METZ BEAUMONT	USSEL OUEST	1.8	1.1
USSEL OUEST	CLERMONT EN ARGONNE	1.8	1.1
CLERMONT EN ARGONNE	USSEL OUEST	1.8	1.1
USSEL OUEST	VATRY	1.8	1.1
VATRY	USSEL OUEST	1.8	1.1
USSEL OUEST	VAL DE LOING-SOUPPES	1.8	1.1
VAL DE LOING-SOUPPES	USSEL OUEST	1.8	1.1
USSEL OUEST	VAL DE LOING-BARRIERE	1.8	1.1
VAL DE LOING-BARRIERE	USSEL OUEST	1.8	1.1
USSEL OUEST	BELLEGARDE	1.8	1.1
BELLEGARDE	USSEL OUEST	1.8	1.1
USSEL OUEST	ELOISE	1.8	1.1
ELOISE	USSEL OUEST	1.8	1.1
USSEL OUEST	VIRY	1.8	1.1
VIRY	USSEL OUEST	1.8	1.1
USSEL EST	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	USSEL EST	1.8	1.1
USSEL EST	TULLE NORD	1.8	1.1
TULLE NORD	USSEL EST	1.8	1.1
USSEL EST	TULLE EST	1.8	1.1
TULLE EST	USSEL EST	1.8	1.1
USSEL EST	EGLETONS	1.8	1.1
EGLETONS	USSEL EST	1.8	1.1
USSEL EST	USSEL OUEST	1.8	1.1
USSEL OUEST	USSEL EST	1.8	1.1
USSEL EST	ST JULIEN SANCY	1.8	1.1
ST JULIEN SANCY	USSEL EST	1.8	1.1
USSEL EST	VULCANIA BROMONT	1.8	1.1
VULCANIA BROMONT	USSEL EST	1.8	1.1
USSEL EST	MANZAT	1.8	1.1
MANZAT	USSEL EST	1.8	1.1
USSEL EST	ALLAINES	1.8	1.1
ALLAINES	USSEL EST	1.8	1.1
USSEL EST	ARTENAY	1.8	1.1
ARTENAY	USSEL EST	1.8	1.1
USSEL EST	MONTREUIL AUX LIONS	84.7	47.7
MONTREUIL AUX LIONS	USSEL EST	84.7	47.7
USSEL EST	CHATEAU-THIERRY	1.8	1.1
CHATEAU-THIERRY	USSEL EST	1.8	1.1
USSEL EST	DORMANS	78.0	44.0
DORMANS	USSEL EST	78.0	44.0
USSEL EST	REIMS NORD (ORMES)	76.6	42.7
REIMS NORD (ORMES)	USSEL EST	76.6	42.7
USSEL EST	REIMS OUEST (THILLOIS)	1.8	1.1
REIMS OUEST (THILLOIS)	USSEL EST	1.8	1.1
USSEL EST	REIMS SUD	1.8	1.1
REIMS SUD	USSEL EST	1.8	1.1
USSEL EST	CHARMONT-S/BARBUISE	1.8	1.1
CHARMONT-S/BARBUISE	USSEL EST	1.8	1.1
USSEL EST	VALLEE DE L'AUBE	1.8	1.1
VALLEE DE L'AUBE	USSEL EST	1.8	1.1
USSEL EST	SOMMESOUS	1.8	1.1
SOMMESOUS	USSEL EST	1.8	1.1
USSEL EST	MONT CHOISY	1.8	1.1
MONT CHOISY	USSEL EST	1.8	1.1
USSEL EST	ST GIBRIEN	1.8	1.1
ST GIBRIEN	USSEL EST	1.8	1.1
USSEL EST	REIMS EST (TAISSY)	1.8	1.1
REIMS EST (TAISSY)	USSEL EST	1.8	1.1
USSEL EST	CHALONS / LA VEUVE (REIMS)	1.8	1.1
CHALONS / LA VEUVE (REIMS)	USSEL EST	1.8	1.1
USSEL EST	CHALONS / LA VEUVE (METZ)	1.8	1.1
CHALONS / LA VEUVE (METZ)	USSEL EST	1.8	1.1
USSEL EST	ST ETIENNE AU TEMPLE	1.8	1.1
ST ETIENNE AU TEMPLE	USSEL EST	1.8	1.1
USSEL EST	ST MENEHOULD	1.8	1.1
ST MENEHOULD	USSEL EST	1.8	1.1
USSEL EST	VOIE SACREE	1.8	1.1
VOIE SACREE	USSEL EST	1.8	1.1
USSEL EST	VERDUN	1.8	1.1
VERDUN	USSEL EST	1.8	1.1
USSEL EST	FRESNES EN WOEVRE	1.8	1.1
FRESNES EN WOEVRE	USSEL EST	1.8	1.1
USSEL EST	JARNY	1.8	1.1
JARNY	USSEL EST	1.8	1.1
USSEL EST	METZ BEAUMONT	1.8	1.1
METZ BEAUMONT	USSEL EST	1.8	1.1
USSEL EST	CLERMONT EN ARGONNE	1.8	1.1
CLERMONT EN ARGONNE	USSEL EST	1.8	1.1
USSEL EST	VATRY	1.8	1.1
VATRY	USSEL EST	1.8	1.1
USSEL EST	VAL DE LOING-SOUPPES	1.8	1.1
VAL DE LOING-SOUPPES	USSEL EST	1.8	1.1
USSEL EST	VAL DE LOING-BARRIERE	1.8	1.1
VAL DE LOING-BARRIERE	USSEL EST	1.8	1.1
USSEL EST	BELLEGARDE	1.8	1.1
BELLEGARDE	USSEL EST	1.8	1.1
USSEL EST	ELOISE	1.8	1.1
ELOISE	USSEL EST	1.8	1.1
USSEL EST	VIRY	1.8	1.1
VIRY	USSEL EST	1.8	1.1
ST JULIEN SANCY	ST GERMAIN LES VERGNES	1.8	1.1
ST GERMAIN LES VERGNES	ST JULIEN SANCY	1.8	1.1
ST JULIEN SANCY	TULLE NORD	1.8	1.1
TULLE NORD	ST JULIEN SANCY	1.8	1.1
ST JULIEN SANCY	TULLE EST	1.8	1.1
TULLE EST	ST JULIEN SANCY	1.8	1.1
