Autoroute entrée	Péage entrée	Ville entrée	Autoroute sortie	Péage sortie	Ville sortie	Classe 1	Classe 2	Classe 3	Classe 4	Classe 5
A11	1	ABLIS	A28	18	ALENCON NORD	21,40	32,90	50,80	70,30	12,70
A11	1	ABLIS	A28	19	ALENCON SUD	20,60	32,00	50,70	68,90	12,50
A11	1	ABLIS	A11	-	ANGERS (CORZE)	26,80	41,00	63,70	84,20	16,30
A11	1	ABLIS	A88	-	ARGENTAN	31,80	51,20	76,50	104,10	18,70
A11	1	ABLIS	A28	23	AUVOURS (LE MANS ZI SUD)	16,50	25,40	40,10	53,50	10,50
A11	1	ABLIS	A85	1	BEAUFORT EN VALLEE	26,40	41,00	61,60	83,30	16,30
A11	1	ABLIS	A28	21	BEAUMONT SUR SARTHE	18,00	28,50	43,60	61,00	11,30
A11	1	ABLIS	A28	14	BERNAY	40,50	64,40	96,70	132,50	24,30
A11	1	ABLIS	A85	5	BOURGUEIL	30,80	47,10	72,10	96,60	19,00
A11	1	ABLIS	A28	13	BRIONNE	44,90	71,80	104,60	142,30	27,40
A11	1	ABLIS	A11	4	BROU	7,30	12,10	18,90	25,70	4,50
A11	1	ABLIS	A11	2	CHARTRES EST	2,80	4,90	5,50	6,80	1,60
A11	1	ABLIS	A11	3	CHARTRES-THIVARS	4,40	7,00	11,20	13,80	2,50
A11	1	ABLIS	A28	26	CHATEAU DU LOIR (MONTABON)	20,90	32,60	52,70	68,10	12,80
A11	1	ABLIS	A11	6	CONNERRE	14,40	22,10	33,10	44,70	8,40
A11	1	ABLIS	A11	11	DURTAL	21,90	33,80	53,50	71,90	13,50
A11	1	ABLIS	A28	25	ECOMMOY	18,70	29,30	46,70	61,00	11,80
A11	1	ABLIS	A81	2	EVRON	23,50	35,70	54,80	76,20	14,40
A11	1	ABLIS	A28	16	GACE	31,70	50,20	73,60	101,10	19,00
A11	1	ABLIS	A11	3.1	ILLIERS COMBRAY	6,10	9,50	15,00	17,60	3,60
A11	1	ABLIS	A11	5	LA FERTE BERNARD	10,90	17,20	26,40	36,40	6,40
A11	1	ABLIS	A81	3	LAVAL EST	25,40	39,60	60,60	82,00	15,50
A11	1	ABLIS	A81	4	LAVAL OUEST	26,70	41,20	62,40	84,10	16,40
A11	1	ABLIS	A11	8	LE MANS CENTRE UNIVERSITE	17,00	26,20	41,80	56,80	10,60
A11	1	ABLIS	A11	9	LE MANS SUD	18,00	27,90	44,20	60,20	11,20
A11	1	ABLIS	A11	7	LE MANS ZI NORD	16,00	24,30	36,10	55,00	9,70
A11	1	ABLIS	A85	2	LONGUE-JUMELLES	27,40	42,20	64,10	85,90	16,90
A11	1	ABLIS	A28	15	ORBEC	36,10	57,50	85,40	117,20	21,80
A11	1	ABLIS	A28	24	PARIGNE-L'EVEQUE	17,70	26,50	43,00	56,20	10,80
A11	1	ABLIS	A10	-	PARIS (LA FOLIE BESSIN)	3,70	5,50	9,60	12,60	2,20
A11	1	ABLIS	A85	-	RESTIGNE	34,10	52,30	79,30	107,30	21,00
A11	1	ABLIS	A28	-	ROUMOIS	52,30	83,50	120,60	165,70	31,20
A11	1	ABLIS	A11	10	SABLE-LA FLECHE	21,00	32,00	50,50	69,00	12,80
A11	1	ABLIS	A85	3	SAUMUR (VIVY)	28,70	44,50	68,60	91,70	17,80
A11	1	ABLIS	A88	16	SEES	27,90	44,00	65,40	89,80	16,60
A11	1	ABLIS	A11	12	SEICHES	24,50	37,30	57,70	78,00	14,80
A11	1	ABLIS	A28	20	SILLE LE GUILLAUME / MAMERS	20,00	30,60	50,50	64,40	12,20
A11	1	ABLIS	A81	1	SILLE LE GUILLAUME / SABLE	20,40	31,60	47,80	66,30	12,50
A11	1	ABLIS	A28	-	TOURS CENTRE (SAINT CHRISTOPHE)	25,10	40,60	66,70	84,40	15,80
A11	1	ABLIS	A81	-	VITRE (LA GRAVELLE)	27,90	43,70	65,60	94,30	17,60
A83	3	AIGREFEUILLE	A10	26	CHATELLERAULT NORD	21,70	33,60	50,90	65,50	13,80
A83	3	AIGREFEUILLE	A10	27	CHATELLERAULT SUD	20,80	32,00	46,40	60,80	12,90
A83	3	AIGREFEUILLE	A10	28	FUTUROSCOPE	19,00	29,30	42,90	55,20	11,90
A83	3	AIGREFEUILLE	A10	29	POITIERS NORD	18,30	28,50	41,10	53,40	11,60
A83	3	AIGREFEUILLE	A10	30	POITIERS SUD	17,20	26,40	38,10	50,30	10,80
A83	3	AIGREFEUILLE	A10	25	SAINTE MAURE	25,00	38,90	57,60	76,00	15,80
A83	3	AIGREFEUILLE	A10	-	TOURS CENTRE (SORIGNY)	31,00	46,70	70,50	94,20	19,30
A28	18	ALENCON NORD	A11	1	ABLIS	21,40	32,90	50,80	70,30	12,70
A28	18	ALENCON NORD	A28	19	ALENCON SUD	0,50	1,00	1,30	1,90	0,40
A28	18	ALENCON NORD	A11	-	ANGERS (CORZE)	15,30	23,50	35,20	46,70	9,00
A28	18	ALENCON NORD	A88	-	ARGENTAN	9,80	17,10	25,00	32,90	5,60
A28	18	ALENCON NORD	A28	23	AUVOURS (LE MANS ZI SUD)	5,20	8,30	14,20	16,90	3,60
A28	18	ALENCON NORD	A85	1	BEAUFORT EN VALLEE	14,90	23,50	33,10	45,80	9,00
A28	18	ALENCON NORD	A28	21	BEAUMONT SUR SARTHE	2,20	3,10	4,40	7,80	1,40
A28	18	ALENCON NORD	A28	14	BERNAY	18,50	30,30	45,20	61,30	11,20
A28	18	ALENCON NORD	A85	5	BOURGUEIL	19,30	29,60	43,60	59,10	11,70
A28	18	ALENCON NORD	A28	13	BRIONNE	22,90	37,70	53,10	71,10	14,30
A28	18	ALENCON NORD	A11	4	BROU	12,60	19,10	32,50	42,70	7,60
A28	18	ALENCON NORD	A11	2	CHARTRES EST	17,60	28,60	44,70	59,80	10,90
A28	18	ALENCON NORD	A11	3	CHARTRES-THIVARS	16,90	26,20	41,00	52,30	10,10
A28	18	ALENCON NORD	A28	26	CHATEAU DU LOIR (MONTABON)	9,20	13,40	23,70	27,30	5,80
A28	18	ALENCON NORD	A11	6	CONNERRE	7,40	11,70	18,80	21,80	4,60
A28	18	ALENCON NORD	A11	11	DURTAL	10,40	16,30	25,00	34,40	6,20
A28	18	ALENCON NORD	A28	25	ECOMMOY	7,20	11,20	18,00	20,50	4,60
A28	18	ALENCON NORD	A81	2	EVRON	10,50	16,80	26,40	36,10	6,20
A28	18	ALENCON NORD	A28	16	GACE	9,70	16,10	22,10	29,90	5,90
A28	18	ALENCON NORD	A11	3.1	ILLIERS COMBRAY	14,80	22,90	37,10	48,80	8,80
A28	18	ALENCON NORD	A11	5	LA FERTE BERNARD	9,20	15,40	23,40	31,60	5,50
A28	18	ALENCON NORD	A81	3	LAVAL EST	12,40	19,60	30,30	41,90	7,60
A28	18	ALENCON NORD	A81	4	LAVAL OUEST	13,40	21,30	34,40	45,10	8,30
A28	18	ALENCON NORD	A11	8	LE MANS CENTRE UNIVERSITE	5,50	8,70	13,30	19,30	3,30
A28	18	ALENCON NORD	A11	9	LE MANS SUD	6,50	10,40	15,70	22,70	3,90
A28	18	ALENCON NORD	A11	7	LE MANS ZI NORD	4,30	7,30	11,40	12,80	2,70
A28	18	ALENCON NORD	A85	2	LONGUE-JUMELLES	15,90	24,70	35,60	48,40	9,60
A28	18	ALENCON NORD	A28	15	ORBEC	14,10	23,40	33,90	46,00	8,70
A28	18	ALENCON NORD	A28	24	PARIGNE-L'EVEQUE	5,30	8,50	14,40	19,00	3,70
A28	18	ALENCON NORD	A10	-	PARIS (LA FOLIE BESSIN)	24,50	39,00	59,90	80,20	15,20
A28	18	ALENCON NORD	A85	-	RESTIGNE	22,60	34,80	50,80	69,80	13,70
A28	18	ALENCON NORD	A28	-	ROUMOIS	30,30	49,40	69,10	94,50	18,10
A28	18	ALENCON NORD	A11	10	SABLE-LA FLECHE	9,50	14,50	22,00	31,50	5,50
A28	18	ALENCON NORD	A85	3	SAUMUR (VIVY)	17,20	27,00	40,10	54,20	10,50
A28	18	ALENCON NORD	A88	16	SEES	5,90	9,90	13,90	18,60	3,50
A28	18	ALENCON NORD	A11	12	SEICHES	13,00	19,80	29,20	40,50	7,50
A28	18	ALENCON NORD	A28	20	SILLE LE GUILLAUME / MAMERS	1,20	2,10	2,80	4,40	0,80
A28	18	ALENCON NORD	A81	1	SILLE LE GUILLAUME / SABLE	7,10	12,30	20,40	28,10	4,60
A28	18	ALENCON NORD	A28	-	TOURS CENTRE (SAINT CHRISTOPHE)	14,40	22,50	35,80	47,90	9,10
A28	18	ALENCON NORD	A81	-	VITRE (LA GRAVELLE)	14,90	24,70	38,10	52,00	9,50
A28	19	ALENCON SUD	A11	1	ABLIS	20,60	32,00	50,70	68,90	12,50
A28	19	ALENCON SUD	A28	18	ALENCON NORD	0,50	1,00	1,30	1,90	0,40
A28	19	ALENCON SUD	A11	-	ANGERS (CORZE)	14,80	22,40	33,10	43,00	8,90
