X	Bifurcation A46S/A46 vers A43 ou A46	SAINT PRIEST CENTRE	MIONS	VENISSIEUX	MARENNES	COMMUNAY	Bifurcation A46S/A7/A47 vers Lyon ou St Etienne	CHASSE SUD	VIENNE SUD	PEAGE DE VIENNE	AUBERIVES	CHANAS	TAIN	VALENCE NORD	VALENCE SUD	LORIOL	MONTELIMAR NORD	MONTELIMAR SUD	BOLLENE	ORANGE NORD	ORANGE	ROQUEMAURE	REMOULINS	NIMES EST	NIMES OUEST	NIMES CENTRE	NIMES GARONS	PEAGE D'ARLES	GALLARGUES	LUNEL
SETE	32,4	32,4	32,4	32,4	32,4	32,4	32,4	32,4	32,4	32,4	28	26,8	24,1	23,1	22,9	20	18,3	15,6	14,4	11,2	11	10	8,2	6	5,3	5,4	6,2	9	3,5	3,1
AGDE PEZENAS	34,9	34,9	34,9	34,9	34,9	34,9	34,9	34,9	34,9	34,9	30,1	29,2	26,4	25,3	25,1	22,2	20,8	17,9	16,6	13,4	13,2	12,1	10,5	8,2	7,5	7,6	8,6	11	5,8	5,3
PEAGE DE BEZIERS CABRIALS	35,5	35,5	35,5	35,5	35,5	35,5	35,5	35,5	35,5	35,5	30,7	29,7	27	26	25,8	22,6	21,6	19	17,7	14,5	14,3	13	11,7	9,1	8,6	8,7	9,4	12	6,7	6,6
BEZIERS OUEST	36,8	36,8	36,8	36,8	36,8	36,8	36,8	36,8	36,8	36,8	32,1	30,9	28,2	27,3	27,1	24	22,7	20	18,8	15,5	15,4	14,1	12,7	10,2	9,7	9,8	10,4	13,1	8	7,7
NARBONNE EST	40,2	40,2	40,2	40,2	40,2	40,2	40,2	40,2	40,2	40,2	35,6	34,5	31,8	30,5	30,3	27,6	25,9	23,1	21,7	18,6	18,5	17,5	15,7	13,5	12,8	12,9	13,6	16,3	11,1	10,7
NARBONNE SUD	40,4	40,4	40,4	40,4	40,4	40,4	40,4	40,4	40,4	40,4	35,7	34,7	32	30,7	30,5	27,7	26,1	23,3	22	18,8	18,7	17,7	15,9	13,7	13	13,1	13,9	16,5	11,2	10,8
SIGEAN	42,1	42,1	42,1	42,1	42,1	42,1	42,1	42,1	42,1	42,1	37,8	36,3	33,7	32,6	32,4	29,5	28,2	25,6	24,3	21,1	21	19,5	18	15,6	14,9	15,1	16	18,7	13,4	13,2
LEUCATE	43,3	43,3	43,3	43,3	43,3	43,3	43,3	43,3	43,3	43,3	38,6	37,5	35	33,6	33,4	30,6	29,3	26,5	25	22	21,8	20,7	19	17	16,2	16,3	17	19,6	14,5	14
PERPIGNAN NORD	46,9	46,9	46,9	46,9	46,9	46,9	46,9	46,9	46,9	46,9	42,2	41,1	38,5	37,3	37,1	34,2	32,7	30	28,7	25,3	25,2	24,1	22,6	20,4	19,7	19,9	20,5	23,3	17,8	17,6
PERPIGNAN SUD	47,1	47,1	47,1	47,1	47,1	47,1	47,1	47,1	47,1	47,1	42,4	41,3	38,8	37,5	37,3	34,4	32,9	30,2	28,9	25,6	25,4	24,4	22,8	20,6	19,9	20	20,7	23,4	18,1	17,8
LE BOULOU	49,5	49,5	49,5	49,5	49,5	49,5	49,5	49,5	49,5	49,5	45	44,2	41,5	40	39,9	36,9	35,5	33	31,5	28	27,8	26,8	25,6	23,3	22,3	22,4	23,2	26,2	20,6	20,3
PEAGE DU PERTHUS	50	50	50	50	50	50	50	50	50	50	46,9	45,7	43,1	41	40,8	38,9	37,3	34,6	33,4	29,5	29,3	28,7	27,3	25	24,3	24,4	25,1	28,1	22,8	22,4
FRONTIERE ESPAGNOLE	50	50	50	50	50	50	50	50	50	50	46,9	45,7	43,1	41	40,8	38,9	37,3	34,6	33,4	29,5	29,3	28,7	27,3	25	24,3	24,4	25,1	28,1	22,8	22,4
LEZIGNAN	42	42	42	42	42	42	42	42	42	42	37,2	36,4	33,8	32,7	32,5	29,5	28	25,7	24,2	21,2	21	19,6	18,4	15,9	15,3	15,4	15,9	18,6	13,5	13,2
CARCASSONNE EST	46	46	46	46	46	46	46	46	46	46	41	40,8	38,1	36,8	36,6	33,5	32,4	29,8	28,4	25,3	25,2	24	22,6	20	19,4	19,5	20,2	23	17,8	17,4
CARCASSONNE OUEST	46,4	46,4	46,4	46,4	46,4	46,4	46,4	46,4	46,4	46,4	41,4	41,1	38,5	37	36,8	34	32,6	30,1	28,9	25,7	25,6	24,5	23,1	20,4	19,9	20	20,4	23,4	18,1	17,8
BRAM	48,4	48,4	48,4	48,4	48,4	48,4	48,4	48,4	48,4	48,4	44,5	43,7	41	39,7	39,4	36,3	35,1	32,8	31,3	28	27,8	26,7	25,1	22,7	22	22,1	23,1	25,4	20,9	20,3
