X	Bifurcation A46S/A46 vers A43 ou A46	SAINT PRIEST CENTRE	MIONS	VENISSIEUX	MARENNES	COMMUNAY	Bifurcation A46S/A7/A47 vers Lyon ou St Etienne	CHASSE SUD	VIENNE SUD	PEAGE DE VIENNE	AUBERIVES	CHANAS	TAIN	VALENCE NORD	VALENCE SUD	LORIOL	MONTELIMAR NORD	MONTELIMAR SUD	BOLLENE	ORANGE NORD	ORANGE	ROQUEMAURE	REMOULINS	NIMES EST	NIMES OUEST	NIMES CENTRE	NIMES GARONS	PEAGE D'ARLES	GALLARGUES	LUNEL
SETE	18,9	18,9	18,9	18,9	18,9	18,9	18,9	18,9	18,9	18,9	16,4	15,8	14,1	13,4	13,3	11,3	10,5	9,1	8,1	6,7	6,5	5,9	5	3,4	3,2	3,3	3,6	5,2	1,9	1,5
AGDE PEZENAS	20,4	20,4	20,4	20,4	20,4	20,4	20,4	20,4	20,4	20,4	17,9	17,4	15,5	14,8	14,7	12,9	12	10,6	9,6	8,2	8	7,5	6,5	5	4,7	4,8	5,1	6,7	3,4	3,3
PEAGE DE BEZIERS CABRIALS	21,3	21,3	21,3	21,3	21,3	21,3	21,3	21,3	21,3	21,3	18,9	18,4	16,4	15,8	15,7	13,8	13	11,4	10,5	9,1	8,9	8,4	7,4	5,8	5,5	5,6	5,9	7,6	4,3	4,1
BEZIERS OUEST	21,6	21,6	21,6	21,6	21,6	21,6	21,6	21,6	21,6	21,6	19,3	18,6	16,7	16,1	16	14,1	13,3	11,8	10,8	9,4	9,2	8,7	7,7	6,1	5,8	5,9	6,3	7,8	4,6	4,4
NARBONNE EST	23,3	23,3	23,3	23,3	23,3	23,3	23,3	23,3	23,3	23,3	20,8	20,3	18,5	17,8	17,7	15,8	15	13,5	12,6	11,1	10,9	10,4	9,4	7,9	7,6	7,7	8,1	9,6	6,4	6,1
NARBONNE SUD	23,4	23,4	23,4	23,4	23,4	23,4	23,4	23,4	23,4	23,4	20,9	20,4	18,6	17,9	17,8	15,9	15,1	13,6	12,7	11,2	11	10,5	9,5	8	7,7	7,8	8,2	9,7	6,5	6,3
SIGEAN	25	25	25	25	25	25	25	25	25	25	22,4	21,7	19,9	19,2	19,1	17,1	16,3	14,8	14	12,5	12,2	11,8	10,9	9,3	9,1	9,2	9,4	11	7,9	7,7
LEUCATE	25,2	25,2	25,2	25,2	25,2	25,2	25,2	25,2	25,2	25,2	22,7	22,1	20,3	19,6	19,5	17,7	16,7	15,2	14,4	12,9	12,6	12,2	11,2	9,6	9,3	9,4	9,9	11,4	8,3	8,1
PERPIGNAN NORD	27,4	27,4	27,4	27,4	27,4	27,4	27,4	27,4	27,4	27,4	24,8	24,3	22,5	21,7	21,6	19,8	19	17,4	16,5	15	14,7	14,4	13,5	11,9	11,6	11,7	12	13,6	10,4	10,2
PERPIGNAN SUD	27,5	27,5	27,5	27,5	27,5	27,5	27,5	27,5	27,5	27,5	24,9	24,4	22,6	21,8	21,7	19,9	19,1	17,5	16,6	15,1	14,8	14,5	13,6	12	11,7	11,8	12,1	13,7	10,5	10,3
LE BOULOU	28,3	28,3	28,3	28,3	28,3	28,3	28,3	28,3	28,3	28,3	25,7	25,2	23,4	22,7	22,6	20,9	19,9	18,2	17,6	15,9	15,6	15,4	14,3	12,8	12,6	12,7	12,9	14,4	11,5	11,1
PEAGE DU PERTHUS	29,9	29,9	29,9	29,9	29,9	29,9	29,9	29,9	29,9	29,9	27,7	26,7	25,2	24,2	24	22,5	21,7	19,9	19,1	17,7	17,4	17,1	15,9	14,4	14	14,1	14,4	15,9	13	12,7
FRONTIERE ESPAGNOLE	29,9	29,9	29,9	29,9	29,9	29,9	29,9	29,9	29,9	29,9	27,7	26,7	25,2	24,2	24	22,5	21,7	19,9	19,1	17,7	17,4	17,1	15,9	14,4	14	14,1	14,4	15,9	13	12,7
LEZIGNAN	24,9	24,9	24,9	24,9	24,9	24,9	24,9	24,9	24,9	24,9	22,4	21,8	20	19,3	19,2	17,4	16,4	14,9	14,1	12,6	12,3	11,9	10,9	9,3	9	9,2	9,5	11,1	8	7,6
CARCASSONNE EST	27,3	27,3	27,3	27,3	27,3	27,3	27,3	27,3	27,3	27,3	24,7	24	22,2	21,6	21,5	19,6	18,9	17,2	16,4	14,7	14,6	14,3	13,4	11,8	11,4	11,5	11,8	13,4	10,2	10,1
CARCASSONNE OUEST	27,5	27,5	27,5	27,5	27,5	27,5	27,5	27,5	27,5	27,5	24,9	24,3	22,4	21,8	21,7	19,8	19,1	17,5	16,6	14,9	14,8	14,5	13,6	12	11,6	11,7	12	13,7	10,6	10,3
BRAM	28,9	28,9	28,9	28,9	28,9	28,9	28,9	28,9	28,9	28,9	26,2	25,8	24	23,3	23,2	21,3	20,5	18,8	18,1	16,6	16,2	15,9	14,8	13,5	13,1	13,4	13,5	15,2	12,1	11,6
CASTELNAUDARY	29,7	29,7	29,7	29,7	29,7	29,7	29,7	29,7	29,7	29,7	27	26,5	24,8	24,1	24	22	21,2	19,6	18,9	17,3	17	16,5	15,7	14,1	13,9	14	14,3	15,8	12,8	12,5
VILLEFRANCHE DE LAURAGAIS	31	31	31	31	31	31	31	31	31	31	28,3	27,7	26	25,3	25,2	23,5	22,7	20,6	20,1	18,3	18,2	18	17	15,4	15	15,3	15,5	17,1	14	13,7
NAILLOUX	31,3	31,3	31,3	31,3	31,3	31,3	31,3	31,3	31,3	31,3	28,7	28	26,4	25,5	25,4	23,7	22,9	21,2	20,5	18,9	18,5	18,2	17,2	16	15,6	15,7	15,8	17,5	14,3	14
MAZERES SAVERDUN	31,7	31,7	31,7	31,7	31,7	31,7	31,7	31,7	31,7	31,7	29,3	28,4	26,8	26	25,9	24,2	23,3	22	21	20,1	19,4	19	18	16,4	16,2	16,3	17	18	14,8	14,7
PEAGE DE PAMIERS	31,9	31,9	31,9	31,9	31,9	31,9	31,9	31,9	31,9	31,9	29,5	28,8	27,2	26,3	26,2	24,5	23,6	22,2	21,3	20,6	19,7	19,2	18,3	16,7	16,4	16,6	17,2	18,4	15	14,9
PAMIERS NORD	31,9	31,9	31,9	31,9	31,9	31,9	31,9	31,9	31,9	31,9	29,5	28,8	27,2	26,3	26,2	24,5	23,6	22,2	21,3	20,6	19,7	19,2	18,3	16,7	16,4	16,6	17,2	18,4	15	14,9
PAMIERS SUD	31,9	31,9	31,9	31,9	31,9	31,9	31,9	31,9	31,9	31,9	29,5	28,8	27,2	26,3	26,2	24,5	23,6	22,2	21,3	20,6	19,7	19,2	18,3	16,7	16,4	16,6	17,2	18,4	15	14,9
MONTGISCARD	31,3	31,3	31,3	31,3	31,3	31,3	31,3	31,3	31,3	31,3	28,8	28,3	26,6	25,6	25,5	23,9	23,1	21,3	20,6	19,1	18,7	18,4	17,5	16	15,7	15,8	16	17,8	14,6	14,2
PEAGE DE TOULOUSE SUD/OUEST	32,4	32,4	32,4	32,4	32,4	32,4	32,4	32,4	32,4	32,4	30	29,6	27,9	26,9	26,8	25	24,3	22,6	21,9	20,3	19,9	19,6	18,8	17,2	16,8	17	17,3	18,9	15,8	15,4
LE PALAYS	32,4	32,4	32,4	32,4	32,4	32,4	32,4	32,4	32,4	32,4	30	29,6	27,9	26,9	26,8	25	24,3	22,6	21,9	20,3	19,9	19,6	18,8	17,2	16,8	17	17,3	18,9	15,8	15,4
PEAGE DE TOULOUSE SUD/EST	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	30,4	30	28,3	27,3	27,2	25,4	24,7	23	22,3	20,7	20,3	20	19,2	17,6	17,2	17,4	17,7	19,3	16,2	15,8
MONTAUDRAN	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	30,4	30	28,3	27,3	27,2	25,4	24,7	23	22,3	20,7	20,3	20	19,2	17,6	17,2	17,4	17,7	19,3	16,2	15,8
LASBORDES	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	30,4	30	28,3	27,3	27,2	25,4	24,7	23	22,3	20,7	20,3	20	19,2	17,6	17,2	17,4	17,7	19,3	16,2	15,8
SOUPETARD	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	30,4	30	28,3	27,3	27,2	25,4	24,7	23	22,3	20,7	20,3	20	19,2	17,6	17,2	17,4	17,7	19,3	16,2	15,8
LA ROSERAIE	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	30,4	30	28,3	27,3	27,2	25,4	24,7	23	22,3	20,7	20,3	20	19,2	17,6	17,2	17,4	17,7	19,3	16,2	15,8
LA CROIX DAURADE	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	30,4	30	28,3	27,3	27,2	25,4	24,7	23	22,3	20,7	20,3	20	19,2	17,6	17,2	17,4	17,7	19,3	16,2	15,8
BORDEROUGE	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	30,4	30	28,3	27,3	27,2	25,4	24,7	23	22,3	20,7	20,3	20	19,2	17,6	17,2	17,4	17,7	19,3	16,2	15,8
LES IZARDS	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	30,4	30	28,3	27,3	27,2	25,4	24,7	23	22,3	20,7	20,3	20	19,2	17,6	17,2	17,4	17,7	19,3	16,2	15,8
SESQUIERES	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	32,8	30,4	30	28,3	27,3	27,2	25,4	24,7	23	22,3	20,7	20,3	20	19,2	17,6	17,2	17,4	17,7	19,3	16,2	15,8
