X	Bifurcation A46S/A46 vers A43 ou A46	SAINT PRIEST CENTRE	MIONS	VENISSIEUX	MARENNES	COMMUNAY	Bifurcation A46S/A7/A47 vers Lyon ou St Etienne	CHASSE SUD	VIENNE SUD	PEAGE DE VIENNE	AUBERIVES	CHANAS	TAIN	VALENCE NORD	VALENCE SUD	LORIOL	MONTELIMAR NORD	MONTELIMAR SUD	BOLLENE	ORANGE NORD	ORANGE	ROQUEMAURE	REMOULINS	NIMES EST	NIMES OUEST	NIMES CENTRE	NIMES GARONS	PEAGE D'ARLES	GALLARGUES	LUNEL
SETE	30,4	30,4	30,4	30,4	30,4	30,4	30,4	30,4	30,4	30,4	26,4	25,3	22,6	21,8	21,7	18,7	17,3	15,2	13,4	10,8	10,5	9,4	7,7	5,7	5	5,1	5,9	8,5	3,3	2,9
AGDE PEZENAS	32,7	32,7	32,7	32,7	32,7	32,7	32,7	32,7	32,7	32,7	28,3	27,6	24,6	23,8	23,7	20,7	19,4	17,3	15,5	12,9	12,4	11,4	9,8	7,7	7	7,1	8	10,3	5,4	5
PEAGE DE BEZIERS CABRIALS	33,2	33,2	33,2	33,2	33,2	33,2	33,2	33,2	33,2	33,2	28,7	28	25,2	24,3	24,2	21,1	20,2	18	16,6	13,8	13,4	12,2	10,9	8,5	8	8,1	8,8	11,2	6,3	6,2
BEZIERS OUEST	34,8	34,8	34,8	34,8	34,8	34,8	34,8	34,8	34,8	34,8	30,3	29,6	26,7	25,8	25,6	22,7	21,5	19,2	17,6	14,8	14,5	13,5	11,9	9,8	9,2	9,3	10	12,2	7,5	7,3
NARBONNE EST	37,6	37,6	37,6	37,6	37,6	37,6	37,6	37,6	37,6	37,6	33,4	32,6	29,7	28,9	28,6	25,8	24,4	21,9	20,4	17,6	17,3	16,3	14,6	12,6	12	12,1	12,8	15,3	10,4	10
NARBONNE SUD	37,8	37,8	37,8	37,8	37,8	37,8	37,8	37,8	37,8	37,8	33,5	32,8	29,9	29,1	28,8	25,9	24,6	22,3	20,7	17,7	17,5	16,5	14,8	12,8	12,2	12,3	13	15,5	10,5	10,1
SIGEAN	39,4	39,4	39,4	39,4	39,4	39,4	39,4	39,4	39,4	39,4	35,4	34	31,4	30,5	30,3	27,6	26,4	23,9	22,9	19,8	19,7	18,3	16,8	14,6	14	14,2	15	17,5	12,6	12,4
LEUCATE	41	41	41	41	41	41	41	41	41	41	36,3	35,8	32,7	31,7	31,5	28,6	27,4	25	23,5	20,7	20,4	19,4	17,8	15,9	15,2	15,3	15,9	18,4	13,6	13,2
PERPIGNAN NORD	43,9	43,9	43,9	43,9	43,9	43,9	43,9	43,9	43,9	43,9	39,5	38,8	35,9	35,1	34,9	32	30,8	28,6	26,9	23,7	23,6	22,6	21,1	19,1	18,5	18,6	19,2	21,8	16,7	16,5
PERPIGNAN SUD	44,1	44,1	44,1	44,1	44,1	44,1	44,1	44,1	44,1	44,1	39,7	39,2	36,2	35,3	35,1	32,2	31	28,9	27,1	24	23,8	22,9	21,2	19,3	18,6	18,7	19,4	21,9	17	16,7
LE BOULOU	46,5	46,5	46,5	46,5	46,5	46,5	46,5	46,5	46,5	46,5	42,1	41,7	38,8	37,5	37,4	34,5	33,2	31,4	29,6	26,2	26	25,1	24	21,8	20,9	21	21,7	24,5	19,3	19
PEAGE DU PERTHUS	49	49	49	49	49	49	49	49	49	49	44,6	43,6	40,6	40,1	40	36,9	35,5	33,5	31,8	28,5	28,3	27,3	25,7	23,6	22,9	23	23,6	26,4	21,7	21,2
FRONTIERE ESPAGNOLE	49	49	49	49	49	49	49	49	49	49	44,6	43,6	40,6	40,1	40	36,9	35,5	33,5	31,8	28,5	28,3	27,3	25,7	23,6	22,9	23	23,6	26,4	21,7	21,2
LEZIGNAN	39,3	39,3	39,3	39,3	39,3	39,3	39,3	39,3	39,3	39,3	34,8	34,1	31,6	30,6	30,4	27,6	26,3	24	22,8	19,9	19,7	18,5	17,2	14,9	14,3	14,4	14,9	17,4	12,7	12,5
CARCASSONNE EST	43,2	43,2	43,2	43,2	43,2	43,2	43,2	43,2	43,2	43,2	38,4	38,3	35,7	34,4	34,2	31,4	30,3	28,3	26,7	23,7	23,6	22,6	21,2	18,7	18,2	18,3	18,9	21,5	16,7	16,3
CARCASSONNE OUEST	43,6	43,6	43,6	43,6	43,6	43,6	43,6	43,6	43,6	43,6	38,8	38,6	36	34,6	34,4	31,9	30,5	28,6	27,2	24,1	24	23,1	21,6	19,2	18,7	18,8	19,1	21,9	17	16,7
BRAM	45,5	45,5	45,5	45,5	45,5	45,5	45,5	45,5	45,5	45,5	41,6	40,9	38,4	37,2	37	34	32,8	31	29,3	26,5	26	25	23,5	21,3	20,6	20,7	21,6	23,8	19,7	19
CASTELNAUDARY	46,6	46,6	46,6	46,6	46,6	46,6	46,6	46,6	46,6	46,6	42,4	41,7	39	38,1	37,9	34,6	33,8	32	30,3	27,4	26,8	25,8	24,8	22,4	21,8	22	22,8	24,8	20,2	20,1
VILLEFRANCHE DE LAURAGAIS	50	50	50	50	50	50	50	50	50	50	44,9	44,7	41,8	41,2	41	38,3	37	34,8	33,2	30,1	30	28,9	27,2	25,1	24,6	24,7	25,3	27,1	22,9	22,6
NAILLOUX	50,2	50,2	50,2	50,2	50,2	50,2	50,2	50,2	50,2	50,2	45,3	45	42	41,4	41,2	38,5	37,1	35,3	33,4	30,4	30,3	29,1	27,5	25,3	24,8	24,9	25,5	27,4	23,1	22,9
MAZERES SAVERDUN	50,6	50,6	50,6	50,6	50,6	50,6	50,6	50,6	50,6	50,6	46,7	46	43	42	41,8	38,9	37,9	36	34,1	31,8	31,2	30,3	28,8	26,5	25,8	26	26,5	29,1	24,3	24
PEAGE DE PAMIERS	51,1	51,1	51,1	51,1	51,1	51,1	51,1	51,1	51,1	51,1	47,2	46,5	43,6	42,7	42,5	39,8	38,6	36,6	34,5	32,9	32	31,1	29,3	27,5	26,8	26,9	27,7	29,9	25,2	24,9
PAMIERS NORD	51,1	51,1	51,1	51,1	51,1	51,1	51,1	51,1	51,1	51,1	47,2	46,5	43,6	42,7	42,5	39,8	38,6	36,6	34,5	32,9	32	31,1	29,3	27,5	26,8	26,9	27,7	29,9	25,2	24,9
PAMIERS SUD	51,1	51,1	51,1	51,1	51,1	51,1	51,1	51,1	51,1	51,1	47,2	46,5	43,6	42,7	42,5	39,8	38,6	36,6	34,5	32,9	32	31,1	29,3	27,5	26,8	26,9	27,7	29,9	25,2	24,9
MONTGISCARD	50,2	50,2	50,2	50,2	50,2	50,2	50,2	50,2	50,2	50,2	45,5	45	42	41,4	41,2	38,6	37,1	35,3	33,3	30,6	30,4	29,2	27,5	25,5	25	25,1	25,5	27,6	23,2	23
PEAGE DE TOULOUSE SUD/OUEST	51,8	51,8	51,8	51,8	51,8	51,8	51,8	51,8	51,8	51,8	47,7	47	44,4	43,6	43,4	40,2	39,3	37	36	32,7	32,2	31,4	30,1	27,5	27	27,2	28,2	30,1	25,8	25,6
LE PALAYS	51,8	51,8	51,8	51,8	51,8	51,8	51,8	51,8	51,8	51,8	47,7	47	44,4	43,6	43,4	40,2	39,3	37	36	32,7	32,2	31,4	30,1	27,5	27	27,2	28,2	30,1	25,8	25,6
