X	ST GERMAIN LES VERGNES	TULLE NORD	TULLE EST	EGLETONS	USSEL OUEST	USSEL EST	ST JULIEN / SANCY	VULCANIA-BROMONT	MANZAT
ESCRENNES	52,7	50,9	50,1	47,3	44,5	42,4	39,6	37,2	34,9
AUXY	56,5	54,7	53,9	51,1	48,3	46,2	43,4	41	38,7
GONDREVILLE NORD	59,3	57,5	56,7	53,9	51,1	49	46,2	43,8	41,5
GONDREVILLE SUD	63,6	61,8	61	58,2	55,4	53,3	50,5	48,1	45,8
FONTENAY-SUR-LOING	60	58,2	57,4	54,6	51,8	49,7	46,9	44,5	42,2
ST-HILAIRE-LES-ANDRÉSIS	64,5	62,7	61,9	59,1	56,3	54,2	51,4	49	46,7
SAVIGNY-SUR-CLAIRIS	65,4	63,6	62,8	60	57,2	55,1	52,3	49,9	47,6
VILLENEUVE-DONDAGRE	69,3	67,5	66,7	63,9	61,1	59	56,2	53,8	51,5
ST-DENIS-LES-SENS	70,5	68,7	67,9	65,1	62,3	60,2	57,4	55	52,7
FLEURY EN BIERE	74,3	72,5	71,7	68,9	66,1	64	61,2	58,8	56,5
URY	72,6	70,8	70	67,2	64,4	62,3	59,5	57,1	54,8
FONTAINEBLEAU	71,8	70	69,2	66,4	63,6	61,5	58,7	56,3	54
NEMOURS	71,8	70	69,2	66,4	63,6	61,5	58,7	56,3	54
COURTENAY	68,3	66,5	65,7	62,9	60,1	58	55,2	52,8	50,5
JOIGNY	69,9	68,1	67,3	64,5	61,7	59,6	56,8	54,4	52,1
AUXERRE NORD	72,7	70,9	70,1	67,3	64,5	62,4	59,6	57,2	54,9
AUXERRE SUD	72,7	70,9	70,1	67,3	64,5	62,4	59,6	57,2	54,9
NITRY	74,7	72,9	72,1	69,3	66,5	64,4	61,6	59,2	56,9
AVALLON	76,5	74,7	73,9	71,1	68,3	66,2	63,4	61	58,7
BIERRE-LES-SEMUR	78,6	76,8	76	73,2	70,4	68,3	65,5	63,1	60,8
POUILLY-EN-AUXOIS	82,1	80,3	79,5	76,7	73,9	71,8	69	66,6	64,3
BEAUNE NORD	84,6	82,8	82	79,2	76,4	74,3	71,5	69,1	66,8
BEAUNE SUD	85,8	84	83,2	80,4	77,6	75,5	72,7	70,3	68
CHALON NORD	88,2	86,4	85,6	82,8	80	77,9	75,1	72,7	70,4
CHALON SUD	88,2	86,4	85,6	82,8	80	77,9	75,1	72,7	70,4
TOURNUS	89,7	87,9	87,1	84,3	81,5	79,4	76,6	74,2	71,9
MÂCON NORD	92,4	90,6	89,8	87	84,2	82,1	79,3	76,9	74,6
MÂCON SUD	93,3	91,5	90,7	87,9	85,1	83	80,2	77,8	75,5
BELLEVILLE-SUR-SAÔNE	94,9	93,1	92,3	89,5	86,7	84,6	81,8	79,4	77,1
VILLEFRANCHE NORD	95,8	94	93,2	90,4	87,6	85,5	82,7	80,3	78
VILLEFRANCHE VILLE	96,4	94,6	93,8	91	88,2	86,1	83,3	80,9	78,6
VILLEFRANCHE LIMAS	99,7	97,9	97,1	94,3	91,5	89,4	86,6	84,2	81,9
VAL DE LOING/SOUPPES	73,4	71,6	70,8	68	65,2	63,1	60,3	57,9	55,6
VAL DE LOING BARRIERE	79,5	77,7	76,9	74,1	71,3	69,2	66,4	64	61,7
EMPRUNS	76,7	74,9	74,1	71,3	68,5	66,4	63,6	61,2	58,9
SAINT-GERMAIN LAXIS	75,7	73,9	73,1	70,3	67,5	65,4	62,6	60,2	57,9
CHATILLON-LABORDE	75,7	73,9	73,1	70,3	67,5	65,4	62,6	60,2	57,9
FORGES	73,4	71,6	70,8	68	65,2	63,1	60,3	57,9	55,6
MAROLLES-SUR-SEINE	73,4	71,6	70,8	68	65,2	63,1	60,3	57,9	55,6
VULAINES	73,6	71,8	71	68,2	65,4	63,3	60,5	58,1	55,8
TORVILLIERS	75,7	73,9	73,1	70,3	67,5	65,4	62,6	60,2	57,9
ST-THIBAULT	76,2	74,4	73,6	70,8	68	65,9	63,1	60,7	58,4
MAGNANT	78,8	77	76,2	73,4	70,6	68,5	65,7	63,3	61
VILLE-SOUS-LA-FERTÉ	80,3	78,5	77,7	74,9	72,1	70	67,2	64,8	62,5
CHAUMONT/SEMOUTIERS	82	80,2	79,4	76,6	73,8	71,7	68,9	66,5	64,2
THENNELIERES	77,5	75,7	74,9	72,1	69,3	67,2	64,4	62	59,7
CHARMONT-SOUS-BARBUISE	79,6	77,8	77	74,2	71,4	69,3	66,5	64,1	61,8
