X	Bifurcation A46S/A46 vers A43 ou A46	SAINT PRIEST CENTRE	MIONS	VENISSIEUX	MARENNES	COMMUNAY	Bifurcation A46S/A7/A47 vers Lyon ou St Etienne	CHASSE SUD	VIENNE SUD	PEAGE DE VIENNE	AUBERIVES	CHANAS	TAIN	VALENCE NORD	VALENCE SUD	LORIOL	MONTELIMAR NORD	MONTELIMAR SUD	BOLLENE	ORANGE NORD	ORANGE	ROQUEMAURE	REMOULINS	NIMES EST	NIMES OUEST	NIMES CENTRE	NIMES GARONS	PEAGE D'ARLES	GALLARGUES	LUNEL
SETE	17,8	17,8	17,8	17,8	17,8	17,8	17,8	17,8	17,8	17,8	15,4	14,9	13,2	12,6	12,5	10,7	9,9	8,7	7,6	6,3	6,2	5,6	4,7	3,2	3	3,1	3,4	4,9	1,8	1,5
AGDE PEZENAS	19,2	19,2	19,2	19,2	19,2	19,2	19,2	19,2	19,2	19,2	16,9	16,4	14,5	14	13,9	12,2	11,3	10,1	9	7,7	7,6	7,1	6,1	4,7	4,4	4,5	4,8	6,3	3,2	3,1
PEAGE DE BEZIERS CABRIALS	20	20	20	20	20	20	20	20	20	20	17,7	17,2	15,3	14,9	14,8	13	12,2	10,9	9,8	8,5	8,4	7,9	6,9	5,5	5,2	5,3	5,6	7,1	4	3,9
BEZIERS OUEST	20,5	20,5	20,5	20,5	20,5	20,5	20,5	20,5	20,5	20,5	18,2	17,4	15,8	15,2	15,1	13,3	12,5	11,3	10,1	8,8	8,7	8,2	7,3	5,8	5,5	5,6	5,9	7,4	4,3	4,2
NARBONNE EST	22	22	22	22	22	22	22	22	22	22	19,6	19,1	17,3	16,8	16,7	14,9	14,1	12,9	11,8	10,4	10,3	9,8	8,9	7,4	7,2	7,3	7,6	9	6	5,8
NARBONNE SUD	22,1	22,1	22,1	22,1	22,1	22,1	22,1	22,1	22,1	22,1	19,7	19,2	17,4	16,9	16,8	15	14,2	13	11,9	10,5	10,4	9,9	9	7,5	7,3	7,4	7,7	9,1	6,1	5,9
SIGEAN	23,4	23,4	23,4	23,4	23,4	23,4	23,4	23,4	23,4	23,4	21	20,4	18,6	18,1	18	16,1	15,4	14,2	13,1	11,7	11,6	11,1	10,2	8,7	8,5	8,6	8,9	10,3	7,4	7,2
LEUCATE	23,8	23,8	23,8	23,8	23,8	23,8	23,8	23,8	23,8	23,8	21,4	20,8	19	18,5	18,4	16,7	15,8	14,6	13,5	12,1	12	11,5	10,6	9,1	8,8	8,9	9,3	10,7	7,8	7,6
PERPIGNAN NORD	25,8	25,8	25,8	25,8	25,8	25,8	25,8	25,8	25,8	25,8	23,4	22,9	21,1	20,5	20,4	18,7	17,9	16,7	15,5	14,1	14	13,6	12,7	11,2	10,9	11	11,3	12,8	9,8	9,6
PERPIGNAN SUD	25,9	25,9	25,9	25,9	25,9	25,9	25,9	25,9	25,9	25,9	23,5	23	21,2	20,6	20,5	18,8	18	16,8	15,6	14,2	14,1	13,7	12,8	11,3	11	11,1	11,4	12,9	9,9	9,7
LE BOULOU	26,7	26,7	26,7	26,7	26,7	26,7	26,7	26,7	26,7	26,7	24,2	23,7	21,9	21,5	21,4	19,7	18,8	17,5	16,5	14,9	14,8	14,5	13,5	12,1	11,9	12	12,2	13,6	10,8	10,5
PEAGE DU PERTHUS	28,4	28,4	28,4	28,4	28,4	28,4	28,4	28,4	28,4	28,4	26,1	25,3	23,6	23,1	22,9	21,2	20,4	19,1	17,9	16,6	16,5	16	14,9	13,5	13,2	13,3	13,6	15,1	12,2	11,9
FRONTIERE ESPAGNOLE	28,4	28,4	28,4	28,4	28,4	28,4	28,4	28,4	28,4	28,4	26,1	25,3	23,6	23,1	22,9	21,2	20,4	19,1	17,9	16,6	16,5	16	14,9	13,5	13,2	13,3	13,6	15,1	12,2	11,9
LEZIGNAN	23,5	23,5	23,5	23,5	23,5	23,5	23,5	23,5	23,5	23,5	21,1	20,5	18,7	18,2	18,1	16,4	15,5	14,3	13,2	11,8	11,7	11,2	10,3	8,8	8,5	8,7	9	10,4	7,5	7,2
CARCASSONNE EST	25,7	25,7	25,7	25,7	25,7	25,7	25,7	25,7	25,7	25,7	23,2	22,7	20,8	20,3	20,2	18,5	17,7	16,5	15,4	13,9	13,8	13,4	12,5	11	10,7	10,8	11	12,6	9,6	9,4
CARCASSONNE OUEST	26	26	26	26	26	26	26	26	26	26	23,5	23	21,2	20,6	20,5	18,7	18	16,8	15,6	14,2	14,1	13,7	12,8	11,3	11	11,1	11,3	12,9	9,9	9,7
BRAM	27,3	27,3	27,3	27,3	27,3	27,3	27,3	27,3	27,3	27,3	24,8	24,3	22,5	22	21,9	20,1	19,3	18,1	17	15,5	15,4	15	14	12,6	12,4	12,6	12,7	14,3	11,3	10,9
