X	ST GERMAIN LES VERGNES	TULLE NORD	TULLE EST	EGLETONS	USSEL OUEST	USSEL EST	ST JULIEN / SANCY	VULCANIA-BROMONT	MANZAT
ESCRENNES	30,6	29,2	28,8	27,2	25,6	24,2	22,9	21,3	20
AUXY	32,5	31,1	30,7	29,1	27,5	26,1	24,8	23,2	21,9
GONDREVILLE NORD	34,1	32,7	32,3	30,7	29,1	27,7	26,4	24,8	23,5
GONDREVILLE SUD	36,7	35,3	34,9	33,3	31,7	30,3	29	27,4	26,1
FONTENAY-SUR-LOING	34,6	33,2	32,8	31,2	29,6	28,2	26,9	25,3	24
ST-HILAIRE-LES-ANDRÉSIS	36,9	35,5	35,1	33,5	31,9	30,5	29,2	27,6	26,3
SAVIGNY-SUR-CLAIRIS	37,1	35,7	35,3	33,7	32,1	30,7	29,4	27,8	26,5
VILLENEUVE-DONDAGRE	39,2	37,8	37,4	35,8	34,2	32,8	31,5	29,9	28,6
ST-DENIS-LES-SENS	39,9	38,5	38,1	36,5	34,9	33,5	32,2	30,6	29,3
FLEURY EN BIERE	42,2	40,8	40,4	38,8	37,2	35,8	34,5	32,9	31,6
URY	41,1	39,7	39,3	37,7	36,1	34,7	33,4	31,8	30,5
FONTAINEBLEAU	40,6	39,2	38,8	37,2	35,6	34,2	32,9	31,3	30
NEMOURS	40,6	39,2	38,8	37,2	35,6	34,2	32,9	31,3	30
COURTENAY	38,6	37,2	36,8	35,2	33,6	32,2	30,9	29,3	28
JOIGNY	39,5	38,1	37,7	36,1	34,5	33,1	31,8	30,2	28,9
AUXERRE NORD	41	39,6	39,2	37,6	36	34,6	33,3	31,7	30,4
AUXERRE SUD	41	39,6	39,2	37,6	36	34,6	33,3	31,7	30,4
NITRY	42,4	41	40,6	39	37,4	36	34,7	33,1	31,8
AVALLON	43,8	42,4	42	40,4	38,8	37,4	36,1	34,5	33,2
BIERRE-LES-SEMUR	44,8	43,4	43	41,4	39,8	38,4	37,1	35,5	34,2
POUILLY-EN-AUXOIS	46,7	45,3	44,9	43,3	41,7	40,3	39	37,4	36,1
BEAUNE NORD	48,6	47,2	46,8	45,2	43,6	42,2	40,9	39,3	38
BEAUNE SUD	49,2	47,8	47,4	45,8	44,2	42,8	41,5	39,9	38,6
CHALON NORD	50,4	49	48,6	47	45,4	44	42,7	41,1	39,8
CHALON SUD	50,4	49	48,6	47	45,4	44	42,7	41,1	39,8
TOURNUS	51,6	50,2	49,8	48,2	46,6	45,2	43,9	42,3	41
MÂCON NORD	53,1	51,7	51,3	49,7	48,1	46,7	45,4	43,8	42,5
MÂCON SUD	53,6	52,2	51,8	50,2	48,6	47,2	45,9	44,3	43
BELLEVILLE-SUR-SAÔNE	54,4	53	52,6	51	49,4	48	46,7	45,1	43,8
VILLEFRANCHE NORD	55,4	54	53,6	52	50,4	49	47,7	46,1	44,8
VILLEFRANCHE VILLE	55,7	54,3	53,9	52,3	50,7	49,3	48	46,4	45,1
VILLEFRANCHE LIMAS	57,3	55,9	55,5	53,9	52,3	50,9	49,6	48	46,7
VAL DE LOING/SOUPPES	42,3	40,9	40,5	38,9	37,3	35,9	34,6	33	31,7
VAL DE LOING BARRIERE	45,3	43,9	43,5	41,9	40,3	38,9	37,6	36	34,7
EMPRUNS	44	42,6	42,2	40,6	39	37,6	36,3	34,7	33,4
SAINT-GERMAIN LAXIS	43,2	41,8	41,4	39,8	38,2	36,8	35,5	33,9	32,6
CHATILLON-LABORDE	43,2	41,8	41,4	39,8	38,2	36,8	35,5	33,9	32,6
FORGES	41,3	39,9	39,5	37,9	36,3	34,9	33,6	32	30,7
MAROLLES-SUR-SEINE	41,3	39,9	39,5	37,9	36,3	34,9	33,6	32	30,7
VULAINES	41,4	40	39,6	38	36,4	35	33,7	32,1	30,8
TORVILLIERS	43,2	41,8	41,4	39,8	38,2	36,8	35,5	33,9	32,6
ST-THIBAULT	43,6	42,2	41,8	40,2	38,6	37,2	35,9	34,3	33
MAGNANT	44,8	43,4	43	41,4	39,8	38,4	37,1	35,5	34,2
VILLE-SOUS-LA-FERTÉ	45,7	44,3	43,9	42,3	40,7	39,3	38	36,4	35,1
CHAUMONT/SEMOUTIERS	46,7	45,3	44,9	43,3	41,7	40,3	39	37,4	36,1
THENNELIERES	44,4	43	42,6	41	39,4	38	36,7	35,1	33,8
CHARMONT-SOUS-BARBUISE	45,3	43,9	43,5	41,9	40,3	38,9	37,6	36	34,7
VALLÉE DE L’AUBE	46,1	44,7	44,3	42,7	41,1	39,7	38,4	36,8	35,5
SOMMESOUS	47,3	45,9	45,5	43,9	42,3	40,9	39,6	38	36,7
VATRY	47,5	46,1	45,7	44,1	42,5	41,1	39,8	38,2	36,9
MONT-CHOISY	48,8	47,4	47	45,4	43,8	42,4	41,1	39,5	38,2
ST-GIBRIEN	49,2	47,8	47,4	45,8	44,2	42,8	41,5	39,9	38,6
REIMS EST	51,5	50,1	49,7	48,1	46,5	45,1	43,8	42,2	40,9
REIMS SUD	51,4	50	49,6	48	46,4	45	43,7	42,1	40,8
REIMS OUEST	51,9	50,5	50,1	48,5	46,9	45,5	44,2	42,6	41,3
DORMANS	52,5	51,1	50,7	49,1	47,5	46,1	44,8	43,2	41,9
CHÂTEAU-THIERRY	53,4	52	51,6	50	48,4	47	45,7	44,1	42,8
MONTREUIL-REIMS	54,7	53,3	52,9	51,3	49,7	48,3	47	45,4	44,1
CHÂLONS/LA VEUVE	55,9	54,5	54,1	52,5	50,9	49,5	48,2	46,6	45,3
CHÂLONS/MOURMELON	57,4	56	55,6	54	52,4	51	49,7	48,1	46,8
ST-ETIENNE-AU-TEMPLE	49,8	48,4	48	46,4	44,8	43,4	42,1	40,5	39,2
ST-GERMAIN-LAXIS	49,9	48,5	48,1	46,5	44,9	43,5	42,2	40,6	39,3
BEAUNE SUD	49,9	48,5	48,1	46,5	44,9	43,5	42,2	40,6	39,3
STE-MENEHOULD	51,4	50	49,6	48	46,4	45	43,7	42,1	40,8
CLERMONT-EN-ARGONNE	52,3	50,9	50,5	48,9	47,3	45,9	44,6	43	41,7
VOIE SACRÉE	53,3	51,9	51,5	49,9	48,3	46,9	45,6	44	42,7
VERDUN	54,7	53,3	52,9	51,3	49,7	48,3	47	45,4	44,1
FRESNES-EN-WOEVRE	54,7	53,3	52,9	51,3	49,7	48,3	47	45,4	44,1
JARNY	55,8	54,4	54	52,4	50,8	49,4	48,1	46,5	45,2
BEAUMONT	57,1	55,7	55,3	53,7	52,1	50,7	49,4	47,8	46,5
GYE	53,6	52,2	51,8	50,2	48,6	47,2	45,9	44,3	43
COLOMBEY-LES-BELLES	52,4	51	50,6	49	47,4	46	44,7	43,1	41,8
CHATENOIS SUD	51,3	49,9	49,5	47,9	46,3	44,9	43,6	42	40,7
BULGNEVILLE	50,7	49,3	48,9	47,3	45,7	44,3	43	41,4	40,1
ROBECOURT	50	48,6	48,2	46,6	45	43,6	42,3	40,7	39,4
MONTIGNY-LE-ROI	49	47,6	47,2	45,6	44	42,6	41,3	39,7	38,4
LANGRES NORD	47,9	46,5	46,1	44,5	42,9	41,5	40,2	38,6	37,3
LANGRES SUD	48,6	47,2	46,8	45,2	43,6	42,2	40,9	39,3	38
TIL-CHATEL	49,8	48,4	48	46,4	44,8	43,4	42,1	40,5	39,2
DIJON/ARC-SUR- TILLE	51,6	50,2	49,8	48,2	46,6	45,2	43,9	42,3	41
DIJON SUD	50,5	49,1	48,7	47,1	45,5	44,1	42,8	41,2	39,9
NUITS-ST-GEORGES	49,7	48,3	47,9	46,3	44,7	43,3	42	40,4	39,1
SEURRE	50,3	48,9	48,5	46,9	45,3	43,9	42,6	41	39,7
DÔLE	51,8	50,4	50	48,4	46,8	45,4	44,1	42,5	41,2
GENDREY	52,7	51,3	50,9	49,3	47,7	46,3	45	43,4	42,1
BESANÇON OUEST	53,7	52,3	51,9	50,3	48,7	47,3	46	44,4	43,1
BESANÇON NORD	53,8	52,4	52	50,4	48,8	47,4	46,1	44,5	43,2
BESANÇON EST	54,2	52,8	52,4	50,8	49,2	47,8	46,5	44,9	43,6
BAUME-LES-DAMES	55,9	54,5	54,1	52,5	50,9	49,5	48,2	46,6	45,3
L’ISLE-SUR-LE-DOUBS	56,6	55,2	54,8	53,2	51,6	50,2	48,9	47,3	46
